URL,Content_Type,Source,Category,Title,Image
https://www.ted.com/talks/brene_brown_on_vulnerability,Videos,TED,Curiosity,,
https://www.ted.com/talks/manoush_zomorodi_how_boredom_can_lead_to_your_most_brilliant_ideas,Videos,TED,Curiosity,,
https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action,Videos,TED,Curiosity,,
https://www.ted.com/talks/sunni_brown,Videos,TED,Curiosity,,
https://www.ted.com/talks/amy_cuddy_your_body_language_shapes_who_you_are,Videos,TED,Curiosity,,
https://www.ted.com/talks/emilie_wapnick_why_some_of_us_don_t_have_one_true_calling,Videos,TED,Curiosity,,
https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity,Videos,TED,Curiosity,,
https://www.ted.com/talks/tom_hulme_what_can_we_learn_from_shortcuts,Videos,TED,Curiosity,,
https://www.ted.com/talks/fei_fei_li_how_we_re_teaching_computers_to_understand_pictures,Videos,TED,Curiosity,,
https://www.ted.com/talks/jared_ficklin_new_ways_to_see_music_with_color_and_fire,Videos,TED,Curiosity,,
https://www.ted.com/talks/amy_webb_how_i_hacked_online_dating,Videos,TED,Curiosity,,
https://www.ted.com/talks/andreas_ekstrom_the_moral_bias_behind_your_search_results,Videos,TED,Curiosity,,
https://www.ted.com/talks/greg_lynn_on_organic_design,Videos,TED,Curiosity,,
https://www.ted.com/talks/zeynep_tufekci_we_re_building_a_dystopia_just_to_make_people_click_on_ads,Videos,TED,Curiosity,,
https://www.ted.com/talks/kevin_slavin_how_algorithms_shape_our_world,Videos,TED,Curiosity,,
https://www.ted.com/talks/kayla_briet_why_do_i_make_art_to_build_time_capsules_for_my_heritage,Videos,TED,Curiosity,,
https://www.ted.com/talks/sarah_parcak_help_discover_ancient_ruins_before_it_s_too_late,Videos,TED,Curiosity,,
https://www.ted.com/talks/lauren_sallan_how_to_win_at_evolution_and_survive_a_mass_extinction,Videos,TED,Curiosity,,
https://www.ted.com/talks/anjan_sundaram_why_i_risked_my_life_to_expose_a_government_massacre,Videos,TED,Curiosity,,
https://www.ted.com/talks/matilda_ho_the_future_of_good_food_in_china,Videos,TED,Curiosity,,
https://www.ted.com/talks/sarah_parcak_hunting_for_peru_s_lost_civilizations_with_satellites,Videos,TED,Curiosity,,
