URL,Content_type,Source,Category,Range,Title,Content_image
https://www.youtube.com/watch?v=Pkw89euIntE,Lectures,Yale,Art,23,23.  W.  H.  Auden  (cont.),https://i.ytimg.com/vi/Pkw89euIntE/hqdefault.jpg
https://www.youtube.com/watch?v=bgv6mVHrXMs,Lectures,Yale,Art,24,24.  Elizabeth  Bishop,https://i.ytimg.com/vi/bgv6mVHrXMs/hqdefault.jpg
https://www.youtube.com/watch?v=5nHuteLJE5M,Lectures,Yale,Art,25,25.  Elizabeth  Bishop  (cont.),https://i.ytimg.com/vi/5nHuteLJE5M/hqdefault.jpg
https://www.youtube.com/watch?v=KOKnWaLiL8w,Lectures,Yale,Physics,1,1.  Course  Introduction  and  Newtonian  Mechanics,https://i.ytimg.com/vi/KOKnWaLiL8w/hqdefault.jpg
https://www.youtube.com/watch?v=Hy7ou5R_vjE,Lectures,Yale,Physics,2,2.  Vectors  in  Multiple  Dimensions,https://i.ytimg.com/vi/Hy7ou5R_vjE/hqdefault.jpg
https://www.youtube.com/watch?v=Ns6GB4Dph9U,Lectures,Yale,Physics,3,3.  Newton's  Laws  of  Motion,https://i.ytimg.com/vi/Ns6GB4Dph9U/hqdefault.jpg
https://www.youtube.com/watch?v=9vLSx1Iv06U,Lectures,Yale,Physics,4,4.  Newton's  Laws  (cont.)  and  Inclined  Planes,https://i.ytimg.com/vi/9vLSx1Iv06U/hqdefault.jpg
https://www.youtube.com/watch?v=NlDReZhKEro,Lectures,Yale,Physics,5,5.  Work-Energy  Theorem  and  Law  of  Conservation  of  Energy,https://i.ytimg.com/vi/NlDReZhKEro/hqdefault.jpg
https://www.youtube.com/watch?v=R74EhX8O0Nw,Lectures,Yale,Physics,6,6.  Law  of  Conservation  of  Energy  in  Higher  Dimensions,https://i.ytimg.com/vi/R74EhX8O0Nw/hqdefault.jpg
https://www.youtube.com/watch?v=KTaIPz6oC9U,Lectures,Yale,Physics,7,7.  Kepler's  Laws,https://i.ytimg.com/vi/KTaIPz6oC9U/hqdefault.jpg
https://www.youtube.com/watch?v=abF2zesdlVk,Lectures,Yale,Physics,8,8.  Dynamics  of  Multiple-Body  System  and  Law  of,https://i.ytimg.com/vi/abF2zesdlVk/hqdefault.jpg
https://www.youtube.com/watch?v=mx2P1_M-7UA,Lectures,Yale,Physics,9,"9.  Rotations,  Part  I:  Dynamics  of  Rigid  Bodies",https://i.ytimg.com/vi/mx2P1_M-7UA/hqdefault.jpg
https://www.youtube.com/watch?v=UzrZxpup3rc,Lectures,Yale,Physics,10,"10.  Rotations,  Part  II:  Parallel  Axis  Theorem",https://i.ytimg.com/vi/UzrZxpup3rc/hqdefault.jpg
https://www.youtube.com/watch?v=NDdBTyVBTgY,Lectures,Yale,Physics,11,11.  Torque,https://i.ytimg.com/vi/NDdBTyVBTgY/hqdefault.jpg
https://www.youtube.com/watch?v=pHfFSQ6pLGU,Lectures,Yale,Physics,12,12.  Introduction  to  Relativity,https://i.ytimg.com/vi/pHfFSQ6pLGU/hqdefault.jpg
https://www.youtube.com/watch?v=202fU9qIVK4,Lectures,Yale,Physics,13,13.  Lorentz  Transformation,https://i.ytimg.com/vi/202fU9qIVK4/hqdefault.jpg
